day_of_week,weekday_name,hour,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share
4,Wed,4,32244,1321155.5000000002,975526.4000000004,315363.02,559232.6833333331,35580,20088,6337,104,232,40.97368502667164,30.254509366083624,9.780517925815657,17.343775069263526,1.1034611090435429,0.6229996278377372,0.1965326882520779
4,Wed,5,69210,2558000.420000002,1854140.8100000005,1377935.2099999988,1152836.5999999996,74762,48165,11950,104,236,36.95998295044071,26.79007094350528,19.909481433318867,16.657081346626203,1.0802196214419881,0.6959254442999566,0.17266290998410636
4,Wed,6,187583,5453947.060000004,3947686.110000002,2041495.7500000005,3105959.13333333,199296,138084,27429,104,246,29.07484718764496,21.045009995575302,10.883159721296709,16.55778579793121,1.0624416924774633,0.7361221432645816,0.1462232718316692
4,Wed,7,404680,1.0543733119999988E7,7453978.550000002,3478529.7699999996,6548850.050000003,442490,311894,47918,104,248,26.05449520608873,18.41943893940892,8.595754102006522,16.182786522684598,1.0934318473855886,0.7707176040328161,0.11840960759118316
4,Wed,8,555762,1.4416388549999978E7,1.0175874689999998E7,2522881.890000002,9522907.450000001,612024,432660,63251,105,245,25.93986013797269,18.309770531270576,4.539500523605432,17.134866093759562,1.1012339814524923,0.7784987098794088,0.11380950838668351
4,Wed,9,564779,1.5043897259999972E7,1.0553335809999997E7,2224820.2099999995,9998543.549999995,653726,444796,80013,104,245,26.636785822418986,18.685779411061667,3.939275734402305,17.703461973621533,1.1574899208362917,0.7875576110301552,0.14167134401243672
4,Wed,10,557007,1.5311760309999976E7,1.0740551870000001E7,1717546.6700000004,1.0369836999999998E7,682811,436666,96156,105,247,27.489349882496946,19.282615604471758,3.0835279807973697,18.61706764906006,1.2258571256734656,0.7839506505304242,0.17262978741739332
4,Wed,11,587841,1.6485032629999971E7,1.1637558419999994E7,1957191.81,1.1408022200000003E7,732072,457357,106188,104,251,28.043352930469243,19.797119323082253,3.329457812571767,19.406646014823743,1.245357162906296,0.7780284124448618,0.1806406834501166
4,Wed,12,630843,1.796306950999996E7,1.2730536649999997E7,2203602.0900000003,1.2458929633333335E7,788930,487128,116428,104,247,28.474706876354276,20.18019800489186,3.493106985414755,19.74965186795024,1.2505964241499072,0.7721857894912046,0.18455939116388706
4,Wed,13,645936,1.8891021429999966E7,1.3404265109999992E7,2549945.359999999,1.300419335E7,814758,496912,119814,105,246,29.24596466213366,20.751692288400076,3.947674939932128,20.1323247968839,1.2613602586014714,0.7692898367640137,0.1854889648510069
