hour,PULocationID,pickup_zone,pickup_borough,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share,zone_rank_in_hour
15,236,Upper East Side North,Manhattan,271225,5702744.250000001,3845929.9,708778.1299999999,3912877.0833333335,353068,217261,40000,731,1,21.02587980459029,14.17985030878422,2.613247783205825,14.4266829508096,1.301753156972993,0.8010360401880358,0.1474790303253756,2
15,132,JFK Airport,Queens,266606,2.239708006999998E7,1.7621858660000004E7,4289017.08,1.469284603333333E7,406590,193514,64880,729,1,84.00816211938209,66.09700704410255,16.087473950323698,55.110710311595874,1.5250594510251083,0.7258426291981426,0.24335536334516103,3
15,161,Midtown Center,Manhattan,254877,6570804.679999999,4560832.86,694085.69,4702219.233333333,339122,201823,43974,731,1,25.780296692129923,17.894250403135633,2.7232182189840586,18.44897434187209,1.3305319820933235,0.7918446937150077,0.17253027931119716,4
15,138,LaGuardia Airport,Queens,180672,1.2711976370000001E7,8393472.150000002,1927705.5899999996,7045903.733333332,246226,152820,24479,730,1,70.35941579215374,46.45696151036133,10.669642169234855,38.998315916873295,1.362834307474318,0.8458421891604676,0.1354886202621325,5
15,162,Midtown East,Manhattan,163083,4211438.12,2909592.7899999996,687004.9499999998,2942952.8,207698,132126,25464,731,1,25.82389409073907,17.84117774384822,4.2126092235242165,18.045736220206887,1.2735723527283653,0.8101764132374313,0.15614135133643606,6
15,142,Lincoln Square East,Manhattan,154117,3370954.65,2291372.7599999993,365220.83999999997,2318438.616666667,199014,120833,25364,731,1,21.87269833957318,14.867748269172118,2.369763491373437,15.043367160447369,1.2913176353030489,0.7840342077772082,0.16457626348812915,7
15,239,Upper West Side South,Manhattan,152566,3480702.21,2411725.2600000002,420393.71,2223459.6999999997,200961,118375,24371,731,1,22.814403012466734,15.807750481758715,2.755487526709752,14.573756275972364,1.3172069792745436,0.7758937115740073,0.15974070238454177,8
15,163,Midtown North,Manhattan,148666,3828403.27,2669594.83,424079.26999999996,2704766.0499999993,197432,116862,26075,731,1,25.751706980748793,17.956996421508617,2.8525639352642833,18.19357519540446,1.3280238924838228,0.7860707895551101,0.17539316319804124,9
15,186,Penn Station/Madison Sq West,Manhattan,141913,3824515.68,2720172.47,384605.63,2950267.8999999994,187672,110823,26774,731,1,26.94972046253691,19.167887860872508,2.7101507966148275,20.789271595977812,1.3224440326115297,0.7809221142530988,0.18866488623311464,10
16,132,JFK Airport,Queens,284146,2.4914464499999978E7,1.889955066E7,4552504.91,1.5452288516666662E7,431055,210250,65189,731,1,87.68191176367071,66.51352002139745,16.021710353128324,54.38150991626369,1.5170194195941522,0.7399365115116876,0.22942079072026353,1
16,161,Midtown Center,Manhattan,274554,7445560.460000001,4775166.8,680826.9299999999,5021572.1833333345,362862,219899,43756,731,1,27.11874698602097,17.39245030121579,2.4797560042833102,18.28992541843621,1.3216416442667016,0.8009316928545933,0.15937119837991798,2
16,237,Upper East Side South,Manhattan,267680,6378169.54,4040305.2,533627.9299999999,3810980.2500000005,339407,216877,39832,731,1,23.827590929468023,15.09378810520024,1.993529326060968,14.237075052301257,1.267958009563658,0.8102099521817095,0.14880454273759713,3
16,236,Upper East Side North,Manhattan,241090,5537096.2,3422484.5700000003,533820.8,3451350.8500000006,310145,194488,32977,731,1,22.966926044215853,14.195879422622259,2.2141971877722013,14.31561180472023,1.2864283047824463,0.8067028910365424,0.1367829441287486,4
16,162,Midtown East,Manhattan,179444,4863047.25,3100798.2399999998,434984.76999999996,3181041.5333333323,227437,148026,25163,730,1,27.100640032544973,17.280032990793785,2.424069737634025,17.72721034603181,1.2674539131985467,0.8249147366309266,0.14022759189496445,5
16,138,LaGuardia Airport,Queens,175742,1.2549133190000003E7,8068040.489999999,1696137.09,6734381.133333335,237073,148735,23604,731,1,71.40656866315396,45.90843674249752,9.651290471259005,38.31970236672699,1.3489831685083815,0.8463258640507108,0.13431052338086513,6
16,230,Times Sq/Theatre District,Manhattan,163636,5134886.26,3424701.92,531699.98,3463073.483333333,237449,122926,33613,730,1,31.379930210956022,20.928780463956585,3.2492848761886135,21.163273872090084,1.4510804468454375,0.7512161138135862,0.20541323425163166,7
16,142,Lincoln Square East,Manhattan,157783,3714173.8499999996,2352518.31,385129.67,2397445.6999999997,205793,124109,25000,731,1,23.539759353035496,14.909833822401653,2.4408819074298242,15.194575461234733,1.304278661199242,0.7865803033279885,0.1584454599037919,8
16,163,Midtown North,Manhattan,157154,4266164.59,2765675.4699999997,385129.2200000001,2863328.6833333336,207775,124157,26369,731,1,27.146395191977295,17.598505096911307,2.450648535831096,18.219890574425936,1.3221107957799356,0.7900339794087329,0.16779082937755324,9
16,239,Upper West Side South,Manhattan,146686,3416701.4100000006,2148223.25,349154.55000000005,2122158.6666666665,193937,114087,22063,731,1,23.292621040862798,14.645046221179935,2.3802854396465922,14.467356575724107,1.3221234473637566,0.7777633857355167,0.15040971871889613,10
17,161,Midtown Center,Manhattan,310467,8209261.950000001,5243308.819999999,704728.82,5525844.949999999,404263,252464,43205,731,1,26.441657084327808,16.88845777490039,2.269899280760918,17.798493720749708,1.3021126238859524,0.8131749912228997,0.13916132793501404,1
17,237,Upper East Side South,Manhattan,278507,6274369.87,3824620.4000000004,617320.2999999998,3890944.066666667,348017,227154,37257,731,1,22.528589478899992,13.732582663990494,2.216534234328041,13.970722698771187,1.2495808004825733,0.8156132520906118,0.13377401645201017,2
17,132,JFK Airport,Queens,257818,2.2335149949999977E7,1.698634067E7,4132510.9400000004,1.3324188716666669E7,400341,185012,64484,729,1,86.63146075914008,65.88500674894694,16.028791395480535,51.68059916943995,1.552804691681729,0.717606994081096,0.2501144218014258,3
17,236,Upper East Side North,Manhattan,252660,5751358.61,3529131.5500000003,663224.6900000001,3452939.133333333,317160,203626,31147,731,1,22.763233634132828,13.967907662471307,2.6249690888941664,13.666346605451329,1.2552837805746853,0.8059289163302462,0.12327633974511201,4
17,162,Midtown East,Manhattan,224191,5895777.300000001,3723542.1900000004,522823.09,3864433.616666666,280674,189185,25942,731,1,26.298010624868976,16.608794242409378,2.332043168548247,17.237237965246894,1.2519414249456937,0.8438563546261892,0.11571383329393241,5
17,230,Times Sq/Theatre District,Manhattan,183975,5353349.789999999,3527283.9800000004,480081.8599999999,3609329.216666667,259251,141241,33970,729,1,29.098245902975943,19.172626606875937,2.6094950944421793,19.618585224441727,1.409164288626172,0.7677184400054355,0.18464465280608777,6
17,163,Midtown North,Manhattan,179275,4693917.8,2999059.0,440314.87,3106161.0000000005,233008,144614,26035,731,1,26.18277952865709,16.72881885371636,2.456086292009483,17.326236229256732,1.2997238878817459,0.8066601589736438,0.14522381815646354,7
17,142,Lincoln Square East,Manhattan,173672,4042596.360000001,2528377.35,489508.06000000006,2538212.533333333,223774,139388,23878,731,1,23.277191257082322,14.558347632318394,2.8185778939610304,14.614978426766164,1.2884863420701091,0.8025933944447003,0.137489059836934,8
17,170,Murray Hill,Manhattan,166291,4384337.2299999995,2796272.0199999996,364967.82,2829311.0166666666,205017,135348,20488,731,1,26.365451106794712,16.81553433438971,2.1947538952799612,17.014216143186744,1.2328809135792076,0.8139225814986981,0.1232057056605589,9
